,town,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,Intercept,Explained_Variance,MSE
0,TOA PAYOH,-54.18588062879538,5.031029744488,-0.18079580682300356,0.0027971303239828146,-0.007835228812348678,-24.88621567627702,0.009976047974355355,29.9055518706533,-0.039122424219025835,7.2943517993627305,55032.84146262823,0.9680095062479883,56877.37739444807
1,BUKIT MERAH,-67.22646192228974,5.200036008288811,0.06051486874073947,-0.1587960697064267,-0.032273952694988575,-8.196705500689669,0.010703509129010035,15.354258520935767,0.4381923744609018,-3.7483068689569237,22516.759566128007,0.9510234183776569,74177.3275260359
2,CLEMENTI,-55.1299383762178,3.9300094195214874,-0.21349788607020656,0.007288744255882231,-0.09426447039465712,-17.081258699744783,0.010371626767446004,10.170466489159015,-1.6342978935454864,-4.740067326862291,40555.85648561033,0.9738795598306245,25724.216306337068
3,BUKIT PANJANG,-38.27946133799823,4.680642123422712,-0.0017434679078202392,0.01587853719765623,-0.005477280830475294,-1.8634244237743405,0.008994393595930964,-5.601030254716205,-0.027216903445407597,1.5516737323221694,7727.1913154506055,0.9778635291949398,8834.721311033409
4,KALLANG/WHAMPOA,-53.78954932012345,4.899224035721349,-0.032616509246794864,-0.13595966358725084,-0.05806433959413854,-15.371093614290583,0.010171350933775504,-10.859513527265278,0.5892243905542376,-2.367988800685987,36394.8677780373,0.9560330212584824,57774.22743225274
5,YISHUN,-40.86481945987559,3.7774301269165,-0.049486367888891276,-0.003622783038527015,0.007274602714409671,-9.303981638135305,0.009932247010057411,-13.64986473518506,-0.6750571522886549,0.8733996624899151,22626.4999626452,0.9572955001094868,13173.848355858832
6,WOODLANDS,-35.559683582336355,5.555194029648986,-0.04086963218563987,-0.01941746105884026,0.023642973750690723,-5.656219953305983,0.008816898019548162,-19.118521849344827,-0.20705124158899213,1.197002100423971,14729.005659235982,0.9509880128506604,9625.290032179764
7,BUKIT BATOK,-40.02086042572999,2.682122850634265,-0.07089229539359411,-0.012024921533493693,-0.0020502245254115357,-17.110811651823933,0.009288486605412675,-2.2429600123527607,-0.7655871985141571,2.312841890230393,38666.3576446638,0.9560961765388342,13082.018072066643
8,MARINE PARADE,-67.57417533856757,-14.889087615234848,0.21925373937629777,-0.06057574998725052,0.07219303135933096,-30.3629558432388,0.010789866897894114,12.638385282772546,-2.113065231408251,-28.49787898756885,67838.8643483595,0.9447050631756085,22084.03031516638
9,JURONG WEST,-37.68209243660827,3.932443704349213,0.0021876677857480026,0.042068569914730125,-0.004088987144179379,-7.490731753579504,0.009074184063054944,-10.7425523353473,-0.5430697825743057,2.016297102684655,19050.85344667783,0.9591658690410719,13864.65843045161
10,HOUGANG,-40.888082066385735,2.271266101547681,0.010222612930264018,0.015040809233524369,0.011749622608121905,-13.14395985830051,0.008975958434638956,-11.175367728234054,-0.6607892446221678,2.8699215055967384,30759.467774781275,0.9491104155043502,13102.424023899586
11,BISHAN,-47.7238615774783,18.020425489701378,0.05510269718201816,-0.16318857437371168,-0.0808567330222604,16.20022275350829,0.008421972724998138,-7.974430211764795,-2.117357253659919,-0.5212518532954304,-27520.467966436845,0.9623559842486082,25626.070930397087
12,SERANGOON,-44.63097418418599,0.03822389462018721,-0.1275054440899947,-0.32277550920132597,0.09514110651693444,-10.955181849940224,0.008866724602501692,-6.763278101202788,-1.7564291653532063,-1.7972703832486898,26700.676515945535,0.9522916451855152,28931.81601170394
13,GEYLANG,-53.07118321506997,9.134087294394961,0.005783022415865146,-0.027836769086906188,0.021088166905717794,-17.23893704166689,0.010330942086619211,-10.796519271886062,-1.535573707596233,3.2606564385271435,39153.45688374323,0.9467962866110469,48701.056202122934
